,artist_name,popularity,track_id,track_name,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,SZA,92,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,0.499,0.436,279204,0.655,8.1e-06,1,0.688,-8.37,0,0.0583,121.002,4,0.412
1,Hammock,35,51TAp7p7B3xboCl5HWmEkF,Longest Year - 2020,spotify:artist:0VOR7Ie9xUSb45fzIIVJQ1,0.7,0.0692,533707,0.285,0.673,2,0.199,-14.854,1,0.0482,78.572,4,0.0312
2,24kGoldn,95,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),spotify:artist:6fWVd57NKTalqvmjRd2t8Z,0.221,0.7,140526,0.722,0.0,7,0.272,-3.558,0,0.0369,90.989,4,0.756
3,Hammock,40,79hqdNpnWPVVxmZiDfKaIL,Dark Beyond the Blue - 2020,spotify:artist:0VOR7Ie9xUSb45fzIIVJQ1,0.729,0.2,325680,0.282,0.887,2,0.0837,-19.803,0,0.0468,74.381,3,0.0372
4,CJ,93,5vGLcdRuSbUhD8ScwsGSdA,Whoopty,spotify:artist:7arQA31aZVS8yS6zUveWzb,0.19,0.711,123429,0.598,0.0,3,0.15,-7.621,0,0.182,140.175,4,0.737
5,Mads & Co.,4,1E7kvOufjivgCGLETpjvFs,Year 2020,spotify:artist:1Zr86U3TuL6n1VkmENnPCm,0.944,0.372,176000,0.0803,1.93e-05,2,0.107,-15.213,1,0.0383,126.553,4,0.144
6,Ariana Grande,94,35mvY5S1H3J2QZyna3TFe0,positions,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,0.468,0.737,172325,0.802,0.0,0,0.0931,-4.771,1,0.0878,144.015,4,0.682
7,Chicane,11,14rh4oxIMe4fpzWKU4c55d,Halcyon (Year in Review 2020) - 2020 Anniversary Rework,spotify:artist:5GxyeQagayzZOg4UwffQlD,0.0012,0.632,218655,0.632,0.936,9,0.0984,-10.53,0,0.0386,125.116,4,0.0803
8,Ariana Grande,92,6Im9k8u9iIzKMrmV7BWtlF,34+35,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,0.237,0.83,173711,0.585,0.0,0,0.248,-6.476,1,0.094,109.978,4,0.485
9,Armin van Buuren,26,6BMhvxuuCm1QAxYVrFuPZU,A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,0.0964,0.645,32000,0.852,0.0,11,0.278,-7.289,0,0.374,137.985,3,0.737
